I1,I2,I3
1.608,-1.212,-0.404
1.378,-1.197,-0.11
1.15,-1.144,-0.06
0.92,-1.085,-0.07
1.15,-0.913,-0.063
1.38,-0.913,-0.032
1.379,-1.002,-0.192
0.919,-1.025,-0.114
1.148,-0.942,-0.212
1.15,-0.913,-0.139
1.379,-0.942,-0.255
1.38,-0.8,-0.25
1.38,-0.913,-0.197
1.38,-1.174,-0.132
1.38,-1.085,-0.187
1.38,-0.972,-0.013
1.381,-1.025,-0.067
1.148,-0.957,-0.063
1.379,-0.957,-0.059
1.15,-0.972,-0.045
0.92,-0.942,-0.048
1.38,-0.658,-0.123
1.38,-0.568,-0.039
0.919,-0.628,-0.259
0.92,-0.696,-0.25
1.148,-0.755,-0.259
0.69,-0.83,-0.16
0.689,-0.928,-0.043
1.378,-0.898,0.228
1.15,-0.613,-0.021
1.61,-0.471,-0.111
0.69,-0.411,-0.198
0.689,-0.486,-0.284
0.69,-0.598,-0.153
1.15,-0.77,-0.089
1.38,-0.83,0.074
0.919,-0.815,0.206
1.15,-0.755,0.302
0.69,-0.583,0.314
1.38,-0.426,0.04
1.38,-0.127,0.101
0.689,0.03,-0.225
1.379,0,-0.372
1.378,0.015,-0.458
1.15,0,-0.371
1.148,0.075,-0.403
1.15,0.09,-0.319
1.378,0.045,-0.319
1.38,-0.037,-0.319
0.689,-0.052,-0.228
0.689,0.015,-0.138
0.92,0.06,-0.228
0.919,0.06,-0.048
1.379,0,0.042
0.69,-0.037,-0.001
0.689,-0.022,-0.001
0.918,0.045,0.043
1.379,0.09,0.133
1.38,0.075,0.133
0.689,0.075,0.222
1.148,0.075,0.192
0.689,0.105,0.282
0.689,0.247,0.452
0.919,0.322,0.277
0.689,0.247,0.289
0.689,0.045,0.792
1.379,-0.037,0.46
1.15,0,0.739
1.38,0.105,1.147
1.15,0.322,0.568
1.15,0.621,0.436
1.15,0.636,0.325
1.379,0.636,0.171
1.379,0.561,0.16
0.92,1.137,0.189
0.69,1.122,0.176
1.38,1.137,0.048
1.15,0.86,0.073
1.378,0.778,0.31
1.608,0.823,0.386
1.148,1.047,0.449
