I1,I2,I3
3.142,173.521,0.135
2.911,176.139,0.479
2.915,173.311,0.515
2.912,170.484,0.514
3.815,174.568,0.498
3.139,176.767,0.278
3.142,175.51,0.432
3.811,172.578,0.488
2.911,169.96,0.387
3.363,171.531,0.571
3.363,176.767,0.547
3.363,173.311,0.197
3.584,173.73,0.298
2.911,176.767,0.439
2.465,176.558,0.487
3.363,177.5,0.416
3.137,172.159,0.437
3.139,170.17,0.377
3.366,176.139,0.164
3.137,178.547,0.294
3.139,177.186,0.415
3.139,174.149,0.458
3.363,171.322,0.186
4.039,172.369,0.377
3.587,177.5,0.33
2.465,176.558,0.413
3.363,178.757,0.234
2.913,178.547,0.157
2.689,175.72,0.26
3.137,172.892,0.576
3.586,170.903,0.608
3.136,175.301,0.476
2.911,177.919,0.513
3.366,176.139,0.247
2.915,172.892,0.156
3.137,172.369,0.089
2.689,171.322,0.159
3.139,178.757,0.461
3.59,180.327,0.42
2.913,175.091,0.505
2.913,172.892,0.439
3.142,173.102,0.51
2.915,171.95,0.216
2.913,170.693,0.288
3.363,177.5,0.316
2.466,180.118,0.396
3.59,174.777,0.515
3.811,171.95,0.382
2.917,172.369,0.521
3.139,175.301,0.419
3.36,175.929,0.212
2.915,177.186,0.518
3.139,169.751,0.435
2.911,173.94,0.397
3.139,177.186,0.532
2.915,175.51,0.189
2.69,172.369,0.364
2.917,175.51,0.516
2.913,174.777,0.383
3.139,167.342,0.399
3.136,173.311,0.444
2.913,177.186,0.276
2.69,173.521,0.289
2.69,170.903,0.531
2.915,168.285,0.471
2.915,169.122,0.292
2.911,176.348,0.176
2.913,176.348,0.408
3.586,172.578,0.778
4.26,172.892,0.962
4.254,177.5,0.902
4.704,177.919,0.818
5.376,181.375,0.704
4.484,180.956,0.889
4.928,185.563,1.017
4.704,183.993,1.085
4.48,182.945,0.909
4.482,184.411,0.603
4.704,186.611,1.111
4.702,188.391,0.854
4.932,186.401,0.52
5.15,190.171,0.957
4.932,191.951,0.474
5.152,191.951,0.986
5.157,193.627,0.558
5.152,195.617,0.912
4.93,197.816,0.913
4.254,199.177,0.485
4.48,200.852,0.905
5.15,202.214,0.698
4.698,201.167,0.665
4.928,199.596,0.709
5.6,202.842,0.757
5.157,205.251,0.577
4.478,207.869,0.63
4.702,208.392,0.76
4.478,209.649,0.459
4.932,205.67,0.669
5.829,206.612,0.643
4.254,209.858,0.342
4.256,214.466,0.712
5.154,214.885,0.698
4.48,213.838,0.607
4.704,211.639,0.687
4.704,217.293,0.553
4.48,216.665,0.533
4.926,218.027,0.522
4.478,219.283,0.59
3.81,217.084,0.535
4.93,216.246,0.682
4.928,219.911,0.587
4.928,224.1,0.658
4.704,222.111,0.198
3.811,222.111,0.74
4.93,221.692,0.197
5.378,222.111,0.667
3.806,222.425,0.189
4.704,227.242,0.764
5.161,226.509,0.27
5.157,224.519,0.659
4.482,227.451,0.316
4.034,225.043,0.634
4.928,230.279,0.435
4.26,228.08,0.702
4.48,229.127,0.699
4.704,226.299,0.381
4.928,227.87,0.829
4.258,230.488,0.59
4.698,230.279,0.311
4.48,229.336,0.696
4.26,227.87,0.576
5.605,227.451,0.382
3.806,229.86,0.553
4.034,233.106,0.867
4.708,230.279,0.562
4.932,231.117,0.145
4.928,228.289,0.656
4.256,230.279,0.345
4.484,231.326,0.494
4.932,233.944,0.565
3.806,232.897,0.634
4.482,230.698,0.129
4.928,231.117,0.364
4.034,231.117,0.607
4.928,234.886,0.461
4.702,233.944,0.631
3.808,231.535,0.356
4.704,231.535,0.328
5.157,233.106,0.248
4.256,236.667,0.465
4.484,234.468,0.669
4.702,235.096,0.404
