I0,I1,I2,I3,I4,I5,I6
0.000,107.419,526.112,10.991,0.000,0.000,0.000
0.000,126.324,526.740,10.604,0.000,0.000,0.000
0.000,120.754,541.611,10.940,0.000,0.000,0.000
0.000,128.782,545.590,10.981,0.000,0.000,0.000
0.000,126.156,538.574,11.571,0.000,0.000,0.000
0.000,131.605,515.116,13.906,0.000,0.000,0.000
0.000,147.789,471.763,14.122,0.000,0.000,0.000
0.000,128.364,457.311,11.252,0.000,0.000,0.000
0.000,117.739,480.559,9.391,0.000,0.000,0.000
0.000,95.521,509.462,8.257,0.000,0.000,0.000
0.000,107.547,529.358,10.410,0.000,0.000,0.000
0.000,115.625,529.568,11.859,0.000,0.000,0.000
0.000,129.477,494.801,13.018,0.000,0.000,0.000
0.000,131.411,436.681,14.084,0.000,0.000,0.000
0.000,125.801,424.429,11.478,0.000,0.000,0.000
0.000,104.387,447.468,9.836,0.000,0.000,0.000
0.000,104.758,472.810,8.768,0.000,0.000,0.000
