I1,I2,I3
1.502,40.736,0.399
1.253,36.966,0.354
1.001,36.128,0.145
1.251,39.584,-0.402
0.751,34.976,0.201
1.001,40.317,0.336
0.751,36.547,0.322
1.501,36.757,0.288
1.001,40.945,0.366
1.502,34.767,0.303
1.253,40.527,0.28
1.251,34.139,0.328
1.251,39.794,0.404
1.504,38.537,0.3
1.754,35.5,0.261
1.001,42.726,0.287
1.001,35.919,0.21
1.754,40.003,0.344
1.504,40.003,0.137
1.502,32.777,0.238
1.753,44.192,0.375
1.504,32.987,0.316
1.504,40.736,0.41
1.001,40.003,0.261
1.504,37.909,0.157
1.504,40.003,0.309
1.754,38.746,0.269
1,36.338,0.336
1.754,41.155,0.313
1.504,37.385,0.331
0.751,40.317,0.408
1.753,38.537,0.353
1.002,39.165,0.261
1.001,40.945,0.161
2.003,35.5,0.399
1.253,40.317,0.347
1.001,37.176,0.385
1.251,40.736,0.222
1.002,39.375,0.331
1.002,37.594,0.059
1.252,41.783,0.323
0.751,35.919,0.304
1.502,41.574,0.208
0.751,35.186,0.326
1.755,41.364,0.19
1.502,38.746,0.297
0.751,38.118,0.446
1.252,42.412,0.254
1.001,36.338,0.219
1.504,42.412,0.326
1.253,39.165,0.118
1.002,36.966,0.21
1.502,43.773,0.361
1.502,33.929,0.302
1.002,43.773,0.385
1.001,38.327,0.266
1,40.527,0.247
1.504,40.736,0.221
1.502,39.584,0.277
1.001,39.375,0.273
1.754,40.945,0.173
1.002,37.909,0.22
1.001,41.993,0.347
1.502,35.5,0.413
1.504,43.354,0.2
1.504,36.547,0.177
1.753,40.003,0.361
1.251,41.364,0.313
1.251,39.165,0.273
1.002,42.412,0.264
1.504,36.966,0.228
1.502,42.726,0.308
0.751,37.594,0.319
0.751,41.574,0.28
1.501,37.176,0.33
1.504,41.574,0.277
1.001,40.736,0.219
1.504,37.594,0.273
1.001,44.192,0.25
1.753,37.594,0.161
1.252,44.192,0.321
1.504,38.746,0.261
1.502,40.003,0.216
1.252,43.354,0.132
1.002,35.709,0.261
1.755,44.401,0.459
1.001,38.118,0.214
0.751,41.783,0.287
1.002,41.364,0.277
1.753,39.375,0.369
1.002,43.145,0.363
1.504,40.736,0.265
1.251,40.945,0.286
1.252,41.783,0.37
2.003,37.594,0.192
1.504,42.202,0.302
1.753,37.594,0.306
1.002,42.202,0.281
1.002,38.118,0.19
1.002,43.145,0.281
0.751,38.327,0.179
1.251,40.003,0.444
1.502,42.726,0.298
1.001,38.956,0.363
1.252,42.726,0.576
1.504,37.176,0.055
1.252,44.401,0.409
1.001,35.919,0.292
0.751,41.574,0.205
1.504,39.375,0.309
1.001,38.746,0.266
1.001,44.401,0.321
1.251,34.139,0.283
1.504,46.6,0.284
1.502,35.709,0.138
1.001,42.202,0.316
1.002,41.574,0.272
1.504,39.375,0.261
0.751,41.364,0.201
0.751,40.317,0.283
1.002,37.594,0.28
1.252,42.202,0.2
1.002,38.537,0.179
1.754,41.993,0.278
0.751,38.537,0.22
1.504,43.563,0.31
1.002,38.746,0.249
1.002,39.794,0.313
1.001,42.202,0.325
1.002,37.909,0.184
1.251,43.145,0.282
1.501,36.547,0.25
1.002,41.364,0.273
1.001,38.746,0.323
1.251,40.527,0.282
1.001,39.375,0.331
1.002,40.317,0.317
1.251,43.145,0.316
1.253,36.757,0.187
1.754,44.401,0.212
1.002,38.537,0.302
1.001,39.375,0.327
1.502,41.364,0.344
1.001,36.128,0.197
0.752,45.553,0.364
1.502,34.558,0.192
1.002,44.611,0.35
1.251,39.375,0.222
1,41.783,0.171
1.002,41.155,0.173
1.002,39.375,0.322
1.002,42.726,0.2
1.251,40.945,0.17
1.252,40.736,0.215
0.751,41.993,0.308
1.251,37.385,0.142
1.252,43.563,0.278
1.001,37.909,0.259
1.002,42.412,0.265
1.253,38.327,0.295
1.754,43.563,0.306
1.502,38.746,0.25
1.001,40.527,0.497
1.504,42.935,0.313
1.002,40.317,0.103
1.754,43.145,0.264
1.252,39.165,0.131
1,44.82,0.372
1.502,36.757,0.28
0.752,44.401,0.139
1.002,40.527,0.22
1.754,39.794,0.276
0.751,42.726,0.426
1.252,37.176,0.134
1.251,46.6,0.308
1.504,35.919,0.306
1.001,45.972,0.32
1.502,39.584,0.223
1.001,42.935,0.249
1.502,42.935,0.088
1.753,40.317,0.316
1.502,44.401,0.302
1.502,41.783,0.353
1.001,43.354,0.371
1.002,42.726,0.288
1.753,42.202,0.186
0.751,43.773,0.215
1.504,39.584,0.392
1.002,44.401,0.277
1.252,40.003,0.272
1.504,45.134,0.289
1.001,39.375,0.271
1.504,45.134,0.195
0.751,39.794,0.281
1.001,44.82,0.206
0.751,38.327,0.177
1.504,46.391,0.265
1.001,39.375,0.234
1.753,42.935,0.282
1.002,44.192,0.288
1.754,40.003,0.352
1.502,48.171,0.317
1.502,36.547,0.179
1.504,49.428,0.175
1.002,36.966,0.256
1.252,47.543,0.231
1.251,41.155,0.133
1.002,44.192,0.17
1.002,44.192,0.273
1.002,41.364,0.294
1.002,45.763,0.311
1.504,42.412,0.248
1.502,45.134,0.261
1.251,42.412,0.338
1.002,45.553,0.062
1.001,43.145,0.176
